"mpg","cylinders","displacement","horsepower","weight","acceleration","model_year","origin","car_name"
180,8,3070,1300,3504,120,70,1,"chevrolet,chevelle,malibu"
150,8,3500,1650,3693,115,70,1,"buick,skylark,320"
180,8,3180,1500,3436,110,70,1,"plymouth,satellite"
160,8,3040,1500,3433,120,70,1,"amc,rebel,sst"
170,8,3020,1400,3449,105,70,1,"ford,torino"
150,8,4290,1980,4341,100,70,1,"ford,galaxie,500"
140,8,4540,2200,4354,,90,70,1,"chevrolet,impala"
140,8,4400,2150,4312,,85,70,1,"plymouth,fury,iii"
140,8,4550,2250,4425,100,70,1,"pontiac,catalina"
150,8,3900,1900,3850,,85,70,1,"amc,ambassador,dpl"
150,8,3830,1700,3563,100,70,1,"dodge,challenger,se"
140,8,3400,1600,3609,,80,70,1,"plymouth,'cuda,340"
150,8,4000,1500,3761,,95,70,1,"chevrolet,monte,carlo"
140,8,4550,2250,3086,100,70,1,"buick,estate,wagon,(sw)"
240,4,1130,9500,2372,150,70,3,"toyota,corona,mark,ii"
220,6,1980,9500,2833,155,70,1,"plymouth,duster"
180,6,1990,9700,2774,155,70,1,"amc,hornet"
210,6,2000,8500,2587,160,70,1,"ford,maverick"
270,4,9700,8800,2130,145,70,3,"datsun,pl510"
260,4,9700,4600,1835,205,70,2,"volkswagen,1131,deluxe,sedan"
250,4,1100,8700,2672,175,70,2,"peugeot,504"
240,4,1070,9000,2430,145,70,2,"audi,100,ls"
250,4,1040,9500,2375,175,70,2,"saab,99e"
260,4,1210,1130,2234,125,70,2,"bmw,2002"
210,6,1990,9000,2648,150,70,1,"amc,gremlin"
100,8,3600,2150,4615,140,70,1,"ford,f250"
100,8,3070,2000,4376,150,70,1,"chevy,c20"
110,8,3180,2100,4382,135,70,1,"dodge,d200"
90,8,3040,1930,4732,185,70,1,"hi,1200d"
270,4,9700,8800,2130,145,71,3,"datsun,pl510"
280,4,1400,9000,2264,155,71,1,"chevrolet,vega,2300"
250,4,1130,9500,2228,140,71,3,"toyota,corona"
250,4,9800,?,,2046,190,71,1,"ford,pinto"
190,6,2320,1000,2634,130,71,1,"amc,gremlin"
160,6,2250,1050,3439,155,71,1,"plymouth,satellite,custom"
170,6,2500,1000,3329,155,71,1,"chevrolet,chevelle,malibu"
190,6,2500,8800,3302,155,71,1,"ford,torino,500"
180,6,2320,1000,3288,155,71,1,"amc,matador"
140,8,3500,1650,4209,120,71,1,"chevrolet,impala"
140,8,4000,1750,4464,115,71,1,"pontiac,catalina,brougham"
140,8,3510,1530,4154,135,71,1,"ford,galaxie,500"
140,8,3180,1500,4096,130,71,1,"plymouth,fury,iii"
120,8,3830,1800,4955,115,71,1,"dodge,monaco,(sw)"
130,8,4000,1700,4746,120,71,1,"ford,country,squire,(sw)"
130,8,4000,1750,5140,120,71,1,"pontiac,safari,(sw)"
180,6,2580,1100,2962,135,71,1,"amc,hornet,sportabout,(sw)"
220,4,1400,7200,2408,190,71,1,"chevrolet,vega,(sw)"
190,6,2500,1000,3282,150,71,1,"pontiac,firebird"
180,6,2500,8800,3139,145,71,1,"ford,mustang"
230,4,1220,8600,2220,140,71,1,"mercury,capri,2000"
280,4,1160,9000,2123,140,71,2,"opel,1900"
300,4,7900,7000,2074,195,71,2,"peugeot,304"
300,4,8800,7600,2065,145,71,2,"fiat,124b"
310,4,7100,6500,1773,190,71,3,"toyota,corolla,1200"
350,4,7200,6900,1613,180,71,3,"datsun,1200"
270,4,9700,6000,1834,190,71,2,"volkswagen,model,111"
260,4,9100,7000,1955,205,71,1,"plymouth,cricket"
240,4,1130,9500,2278,155,72,3,"toyota,corona,hardtop"
250,4,9750,8000,2126,170,72,1,"dodge,colt,hardtop"
230,4,9700,5400,2254,235,72,2,"volkswagen,type,3"
200,4,1400,9000,2408,195,72,1,"chevrolet,vega"
210,4,1220,8600,2226,165,72,1,"ford,pinto,runabout"
130,8,3500,1650,4274,120,72,1,"chevrolet,impala"
140,8,4000,1750,4385,120,72,1,"pontiac,catalina"
150,8,3180,1500,4135,135,72,1,"plymouth,fury,iii"
140,8,3510,1530,4129,130,72,1,"ford,galaxie,500"
170,8,3040,1500,3672,115,72,1,"amc,ambassador,sst"
110,8,4290,2080,4633,110,72,1,"mercury,marquis"
130,8,3500,1550,4502,135,72,1,"buick,lesabre,custom"
120,8,3500,1600,4456,135,72,1,"oldsmobile,delta,88,royale"
130,8,4000,1900,4422,125,72,1,"chrysler,newport,royal"
190,3,7000,9700,2330,135,72,3,"mazda,rx2,coupe"
150,8,3040,1500,3892,125,72,1,"amc,matador,(sw)"
130,8,3070,1300,4098,140,72,1,"chevrolet,chevelle,concours,(sw)"
130,8,3020,1400,4294,160,72,1,"ford,gran,torino,(sw)"
140,8,3180,1500,4077,140,72,1,"plymouth,satellite,custom,(sw)"
180,4,1210,1120,2933,145,72,2,"volvo,145e,(sw)"
220,4,1210,7600,2511,180,72,2,"volkswagen,411,(sw)"
210,4,1200,8700,2979,195,72,2,"peugeot,504,(sw)"
260,4,9600,6900,2189,180,72,2,"renault,12,(sw)"
220,4,1220,8600,2395,160,72,1,"ford,pinto,(sw)"
280,4,9700,9200,2288,170,72,3,"datsun,510,(sw)"
230,4,1200,9700,2506,145,72,3,"toyouta,corona,mark,ii,(sw)"
280,4,9800,8000,2164,150,72,1,"dodge,colt,(sw)"
270,4,9700,8800,2100,165,72,3,"toyota,corolla,1600,(sw)"
130,8,3500,1750,4100,130,73,1,"buick,century,350"
140,8,3040,1500,3672,115,73,1,"amc,matador"
130,8,3500,1450,3988,130,73,1,"chevrolet,malibu"
140,8,3020,1370,4042,145,73,1,"ford,gran,torino"
150,8,3180,1500,3777,125,73,1,"dodge,coronet,custom"
120,8,4290,1980,4952,115,73,1,"mercury,marquis,brougham"
130,8,4000,1500,4464,120,73,1,"chevrolet,caprice,classic"
130,8,3510,1580,4363,130,73,1,"ford,ltd"
140,8,3180,1500,4237,145,73,1,"plymouth,fury,gran,sedan"
130,8,4400,2150,4735,110,73,1,"chrysler,new,yorker,brougham"
120,8,4550,2250,4951,110,73,1,"buick,electra,225,custom"
130,8,3600,1750,3821,110,73,1,"amc,ambassador,brougham"
180,6,2250,1050,3121,165,73,1,"plymouth,valiant"
160,6,2500,1000,3278,180,73,1,"chevrolet,nova,custom"
180,6,2320,1000,2945,160,73,1,"amc,hornet"
180,6,2500,8800,3021,165,73,1,"ford,maverick"
230,6,1980,9500,2904,160,73,1,"plymouth,duster"
260,4,9700,4600,1950,210,73,2,"volkswagen,super,beetle"
110,8,4000,1500,4997,140,73,1,"chevrolet,impala"
120,8,4000,1670,4906,125,73,1,"ford,country"
130,8,3600,1700,4654,130,73,1,"plymouth,custom,suburb"
120,8,3500,1800,4499,125,73,1,"oldsmobile,vista,cruiser"
180,6,2320,1000,2789,150,73,1,"amc,gremlin"
200,4,9700,8800,2279,190,73,3,"toyota,carina"
210,4,1400,7200,2401,195,73,1,"chevrolet,vega"
220,4,1080,9400,2379,165,73,3,"datsun,610"
180,3,7000,9000,2124,135,73,3,"maxda,rx3"
190,4,1220,8500,2310,185,73,1,"ford,pinto"
210,6,1550,1070,2472,140,73,1,"mercury,capri,v6"
260,4,9800,9000,2265,155,73,2,"fiat,124,sport,coupe"
150,8,3500,1450,4082,130,73,1,"chevrolet,monte,carlo,s"
160,8,4000,2300,4278,950,73,1,"pontiac,grand,prix"
290,4,6800,4900,1867,195,73,2,"fiat,128"
240,4,1160,7500,2158,155,73,2,"opel,manta"
200,4,1140,9100,2582,140,73,2,"audi,100ls"
190,4,1210,1120,2868,155,73,2,"volvo,144ea"
150,8,3180,1500,3399,110,73,1,"dodge,dart,custom"
240,4,1210,1100,2660,140,73,2,"saab,99le"
200,6,1560,1220,2807,135,73,3,"toyota,mark,ii"
110,8,3500,1800,3664,110,73,1,"oldsmobile,omega"
200,6,1980,9500,3102,165,74,1,"plymouth,duster"
210,6,2000,?,,2875,170,74,1,"ford,maverick"
190,6,2320,1000,2901,160,74,1,"amc,hornet"
150,6,2500,1000,3336,170,74,1,"chevrolet,nova"
310,4,7900,6700,1950,190,74,3,"datsun,b210"
260,4,1220,8000,2451,165,74,1,"ford,pinto"
320,4,7100,6500,1836,210,74,3,"toyota,corolla,1200"
250,4,1400,7500,2542,170,74,1,"chevrolet,vega"
160,6,2500,1000,3781,170,74,1,"chevrolet,chevelle,malibu,classic"
160,6,2580,1100,3632,180,74,1,"amc,matador"
180,6,2250,1050,3613,165,74,1,"plymouth,satellite,sebring"
160,8,3020,1400,4141,140,74,1,"ford,gran,torino"
130,8,3500,1500,4699,145,74,1,"buick,century,luxus,(sw)"
140,8,3180,1500,4457,135,74,1,"dodge,coronet,custom,(sw)"
140,8,3020,1400,4638,160,74,1,"ford,gran,torino,(sw)"
140,8,3040,1500,4257,155,74,1,"amc,matador,(sw)"
290,4,9800,8300,2219,165,74,2,"audi,fox"
260,4,7900,6700,1963,155,74,2,"volkswagen,dasher"
260,4,9700,7800,2300,145,74,2,"opel,manta"
310,4,7600,5200,1649,165,74,3,"toyota,corona"
320,4,8300,6100,2003,190,74,3,"datsun,710"
280,4,9000,7500,2125,145,74,1,"dodge,colt"
240,4,9000,7500,2108,155,74,2,"fiat,128"
260,4,1160,7500,2246,140,74,2,"fiat,124,tc"
240,4,1200,9700,2489,150,74,3,"honda,civic"
260,4,1080,9300,2391,155,74,3,"subaru"
310,4,7900,6700,2000,160,74,2,"fiat,x19"
190,6,2250,9500,3264,160,75,1,"plymouth,valiant,custom"
180,6,2500,1050,3459,160,75,1,"chevrolet,nova"
150,6,2500,7200,3432,210,75,1,"mercury,monarch"
150,6,2500,7200,3158,195,75,1,"ford,maverick"
160,8,4000,1700,4668,115,75,1,"pontiac,catalina"
150,8,3500,1450,4440,140,75,1,"chevrolet,bel,air"
160,8,3180,1500,4498,145,75,1,"plymouth,grand,fury"
140,8,3510,1480,4657,135,75,1,"ford,ltd"
170,6,2310,1100,3907,210,75,1,"buick,century"
160,6,2500,1050,3897,185,75,1,"chevroelt,chevelle,malibu"
150,6,2580,1100,3730,190,75,1,"amc,matador"
180,6,2250,9500,3785,190,75,1,"plymouth,fury"
210,6,2310,1100,3039,150,75,1,"buick,skyhawk"
200,8,2620,1100,3221,135,75,1,"chevrolet,monza,2+2"
130,8,3020,1290,3169,120,75,1,"ford,mustang,ii"
290,4,9700,7500,2171,160,75,3,"toyota,corolla"
230,4,1400,8300,2639,170,75,1,"ford,pinto"
200,6,2320,1000,2914,160,75,1,"amc,gremlin"
230,4,1400,7800,2592,185,75,1,"pontiac,astro"
240,4,1340,9600,2702,135,75,3,"toyota,corona"
250,4,9000,7100,2223,165,75,2,"volkswagen,dasher"
240,4,1190,9700,2545,170,75,3,"datsun,710"
180,6,1710,9700,2984,145,75,1,"ford,pinto"
290,4,9000,7000,1937,140,75,2,"volkswagen,rabbit"
190,6,2320,9000,3211,170,75,1,"amc,pacer"
230,4,1150,9500,2694,150,75,2,"audi,100ls"
230,4,1200,8800,2957,170,75,2,"peugeot,504"
220,4,1210,9800,2945,145,75,2,"volvo,244dl"
250,4,1210,1150,2671,135,75,2,"saab,99le"
330,4,9100,5300,1795,175,75,3,"honda,civic,cvcc"
280,4,1070,8600,2464,155,76,2,"fiat,131"
250,4,1160,8100,2220,169,76,2,"opel,1900"
250,4,1400,9200,2572,149,76,1,"capri,ii"
260,4,9800,7900,2255,177,76,1,"dodge,colt"
270,4,1010,8300,2202,153,76,2,"renault,12tl"
175,8,3050,1400,4215,130,76,1,"chevrolet,chevelle,malibu,classic"
160,8,3180,1500,4190,130,76,1,"dodge,coronet,brougham"
155,8,3040,1200,3962,139,76,1,"amc,matador"
145,8,3510,1520,4215,128,76,1,"ford,gran,torino"
220,6,2250,1000,3233,154,76,1,"plymouth,valiant"
220,6,2500,1050,3353,145,76,1,"chevrolet,nova"
240,6,2000,8100,3012,176,76,1,"ford,maverick"
225,6,2320,9000,3085,176,76,1,"amc,hornet"
290,4,8500,5200,2035,222,76,1,"chevrolet,chevette"
245,4,9800,6000,2164,221,76,1,"chevrolet,woody"
290,4,9000,7000,1937,142,76,2,"vw,rabbit"
330,4,9100,5300,1795,174,76,3,"honda,civic"
200,6,2250,1000,3651,177,76,1,"dodge,aspen,se"
180,6,2500,7800,3574,210,76,1,"ford,granada,ghia"
185,6,2500,1100,3645,162,76,1,"pontiac,ventura,sj"
175,6,2580,9500,3193,178,76,1,"amc,pacer,d/l"
295,4,9700,7100,1825,122,76,2,"volkswagen,rabbit"
320,4,8500,7000,1990,170,76,3,"datsun,b-210"
280,4,9700,7500,2155,164,76,3,"toyota,corolla"
265,4,1400,7200,2565,136,76,1,"ford,pinto"
200,4,1300,1020,3150,157,76,2,"volvo,245"
130,8,3180,1500,3940,132,76,1,"plymouth,volare,premier,v8"
190,4,1200,8800,3270,219,76,2,"peugeot,504"
190,6,1560,1080,2930,155,76,3,"toyota,mark,ii"
165,6,1680,1200,3820,167,76,2,"mercedes-benz,280s"
165,8,3500,1800,4380,121,76,1,"cadillac,seville"
130,8,3500,1450,4055,120,76,1,"chevy,c10"
130,8,3020,1300,3870,150,76,1,"ford,f108"
130,8,3180,1500,3755,140,76,1,"dodge,d100"
315,4,9800,6800,2045,185,77,3,"honda,accord,cvcc"
300,4,1110,8000,2155,148,77,1,"buick,opel,isuzu,deluxe"
360,4,7900,5800,1825,186,77,2,"renault,5,gtl"
255,4,1220,9600,2300,155,77,1,"plymouth,arrow,gs"
335,4,8500,7000,1945,168,77,3,"datsun,f-10,hatchback"
175,8,3050,1450,3880,125,77,1,"chevrolet,caprice,classic"
170,8,2600,1100,4060,190,77,1,"oldsmobile,cutlass,supreme"
155,8,3180,1450,4140,137,77,1,"dodge,monaco,brougham"
150,8,3020,1300,4295,149,77,1,"mercury,cougar,brougham"
175,6,2500,1100,3520,164,77,1,"chevrolet,concours"
205,6,2310,1050,3425,169,77,1,"buick,skylark"
190,6,2250,1000,3630,177,77,1,"plymouth,volare,custom"
185,6,2500,9800,3525,190,77,1,"ford,granada"
160,8,4000,1800,4220,111,77,1,"pontiac,grand,prix,lj"
155,8,3500,1700,4165,114,77,1,"chevrolet,monte,carlo,landau"
155,8,4000,1900,4325,122,77,1,"chrysler,cordoba"
160,8,3510,1490,4335,145,77,1,"ford,thunderbird"
290,4,9700,7800,1940,145,77,2,"volkswagen,rabbit,custom"
245,4,1510,8800,2740,160,77,1,"pontiac,sunbird,coupe"
260,4,9700,7500,2265,182,77,3,"toyota,corolla,liftback"
255,4,1400,8900,2755,158,77,1,"ford,mustang,ii,2+2"
305,4,9800,6300,2051,170,77,1,"chevrolet,chevette"
335,4,9800,8300,2075,159,77,1,"dodge,colt,m/m"
300,4,9700,6700,1985,164,77,3,"subaru,dl"
305,4,9700,7800,2190,141,77,2,"volkswagen,dasher"
220,6,1460,9700,2815,145,77,3,"datsun,810"
215,4,1210,1100,2600,128,77,2,"bmw,320i"
215,3,8000,1100,2720,135,77,3,"mazda,rx-4"
431,4,9000,4800,1985,215,78,2,"volkswagen,rabbit,custom,diesel"
361,4,9800,6600,1800,144,78,1,"ford,fiesta"
328,4,7800,5200,1985,194,78,3,"mazda,glc,deluxe"
394,4,8500,7000,2070,186,78,3,"datsun,b210,gx"
361,4,9100,6000,1800,164,78,3,"honda,civic,cvcc"
199,8,2600,1100,3365,155,78,1,"oldsmobile,cutlass,salon,brougham"
194,8,3180,1400,3735,132,78,1,"dodge,diplomat"
202,8,3020,1390,3570,128,78,1,"mercury,monarch,ghia"
192,6,2310,1050,3535,192,78,1,"pontiac,phoenix,lj"
205,6,2000,9500,3155,182,78,1,"chevrolet,malibu"
202,6,2000,8500,2965,158,78,1,"ford,fairmont,(auto)"
251,4,1400,8800,2720,154,78,1,"ford,fairmont,(man)"
205,6,2250,1000,3430,172,78,1,"plymouth,volare"
194,6,2320,9000,3210,172,78,1,"amc,concord"
206,6,2310,1050,3380,158,78,1,"buick,century,special"
208,6,2000,8500,3070,167,78,1,"mercury,zephyr"
186,6,2250,1100,3620,187,78,1,"dodge,aspen"
181,6,2580,1200,3410,151,78,1,"amc,concord,d/l"
192,8,3050,1450,3425,132,78,1,"chevrolet,monte,carlo,landau"
177,6,2310,1650,3445,134,78,1,"buick,regal,sport,coupe,(turbo)"
181,8,3020,1390,3205,112,78,1,"ford,futura"
175,8,3180,1400,4080,137,78,1,"dodge,magnum,xe"
300,4,9800,6800,2155,165,78,1,"chevrolet,chevette"
275,4,1340,9500,2560,142,78,3,"toyota,corona"
272,4,1190,9700,2300,147,78,3,"datsun,510"
309,4,1050,7500,2230,145,78,1,"dodge,omni"
211,4,1340,9500,2515,148,78,3,"toyota,celica,gt,liftback"
232,4,1560,1050,2745,167,78,1,"plymouth,sapporo"
238,4,1510,8500,2855,176,78,1,"oldsmobile,starfire,sx"
239,4,1190,9700,2405,149,78,3,"datsun,200-sx"
203,5,1310,1030,2830,159,78,2,"audi,5000"
170,6,1630,1250,3140,136,78,2,"volvo,264gl"
216,4,1210,1150,2795,157,78,2,"saab,99gle"
162,6,1630,1330,3410,158,78,2,"peugeot,604sl"
315,4,8900,7100,1990,149,78,2,"volkswagen,scirocco"
295,4,9800,6800,2135,166,78,3,"honda,accord,lx"
215,6,2310,1150,3245,154,79,1,"pontiac,lemans,v6"
198,6,2000,8500,2990,182,79,1,"mercury,zephyr,6"
223,4,1400,8800,2890,173,79,1,"ford,fairmont,4"
202,6,2320,9000,3265,182,79,1,"amc,concord,dl,6"
206,6,2250,1100,3360,166,79,1,"dodge,aspen,6"
170,8,3050,1300,3840,154,79,1,"chevrolet,caprice,classic"
176,8,3020,1290,3725,134,79,1,"ford,ltd,landau"
165,8,3510,1380,3955,132,79,1,"mercury,grand,marquis"
182,8,3180,1350,3830,152,79,1,"dodge,st,regis"
169,8,3500,1550,4360,149,79,1,"buick,estate,wagon,(sw)"
155,8,3510,1420,4054,143,79,1,"ford,country,squire,(sw)"
192,8,2670,1250,3605,150,79,1,"chevrolet,malibu,classic,(sw)"
185,8,3600,1500,3940,130,79,1,"chrysler,lebaron,town,@,country,(sw)"
319,4,8900,7100,1925,140,79,2,"vw,rabbit,custom"
341,4,8600,6500,1975,152,79,3,"maxda,glc,deluxe"
357,4,9800,8000,1915,144,79,1,"dodge,colt,hatchback,custom"
274,4,1210,8000,2670,150,79,1,"amc,spirit,dl"
254,5,1830,7700,3530,201,79,2,"mercedes,benz,300d"
230,8,3500,1250,3900,174,79,1,"cadillac,eldorado"
272,4,1410,7100,3190,248,79,2,"peugeot,504"
239,8,2600,9000,3420,222,79,1,"oldsmobile,cutlass,salon,brougham"
342,4,1050,7000,2200,132,79,1,"plymouth,horizon"
345,4,1050,7000,2150,149,79,1,"plymouth,horizon,tc3"
318,4,8500,6500,2020,192,79,3,"datsun,210"
373,4,9100,6900,2130,147,79,2,"fiat,strada,custom"
284,4,1510,9000,2670,160,79,1,"buick,skylark,limited"
288,6,1730,1150,2595,113,79,1,"chevrolet,citation"
268,6,1730,1150,2700,129,79,1,"oldsmobile,omega,brougham"
335,4,1510,9000,2556,132,79,1,"pontiac,phoenix"
415,4,9800,7600,2144,147,80,2,"vw,rabbit"
381,4,8900,6000,1968,188,80,3,"toyota,corolla,tercel"
321,4,9800,7000,2120,155,80,1,"chevrolet,chevette"
372,4,8600,6500,2019,164,80,3,"datsun,310"
280,4,1510,9000,2678,165,80,1,"chevrolet,citation"
264,4,1400,8800,2870,181,80,1,"ford,fairmont"
243,4,1510,9000,3003,201,80,1,"amc,concord"
191,6,2250,9000,3381,187,80,1,"dodge,aspen"
343,4,9700,7800,2188,158,80,2,"audi,4000"
298,4,1340,9000,2711,155,80,3,"toyota,corona,liftback"
313,4,1200,7500,2542,175,80,3,"mazda,626"
370,4,1190,9200,2434,150,80,3,"datsun,510,hatchback"
322,4,1080,7500,2265,152,80,3,"toyota,corolla"
466,4,8600,6500,2110,179,80,3,"mazda,glc"
279,4,1560,1050,2800,144,80,1,"dodge,colt"
408,4,8500,6500,2110,192,80,3,"datsun,210"
443,4,9000,4800,2085,217,80,2,"vw,rabbit,c,(diesel)"
434,4,9000,4800,2335,237,80,2,"vw,dasher,(diesel)"
364,5,1210,6700,2950,199,80,2,"audi,5000s,(diesel)"
300,4,1460,6700,3250,218,80,2,"mercedes-benz,240d"
446,4,9100,6700,1850,138,80,3,"honda,civic,1500,gl"
409,4,8500,?,,1835,173,80,2,"renault,lecar,deluxe"
338,4,9700,6700,2145,180,80,3,"subaru,dl"
298,4,8900,6200,1845,153,80,2,"vokswagen,rabbit"
327,6,1680,1320,2910,114,80,3,"datsun,280-zx"
237,3,7000,1000,2420,125,80,3,"mazda,rx-7,gs"
350,4,1220,8800,2500,151,80,2,"triumph,tr7,coupe"
236,4,1400,?,,2905,143,80,1,"ford,mustang,cobra"
324,4,1070,7200,2290,170,80,3,"honda,accord"
272,4,1350,8400,2490,157,81,1,"plymouth,reliant"
266,4,1510,8400,2635,164,81,1,"buick,skylark"
258,4,1560,9200,2620,144,81,1,"dodge,aries,wagon,(sw)"
235,6,1730,1100,2725,126,81,1,"chevrolet,citation"
300,4,1350,8400,2385,129,81,1,"plymouth,reliant"
391,4,7900,5800,1755,169,81,3,"toyota,starlet"
390,4,8600,6400,1875,164,81,1,"plymouth,champ"
351,4,8100,6000,1760,161,81,3,"honda,civic,1300"
323,4,9700,6700,2065,178,81,3,"subaru"
370,4,8500,6500,1975,194,81,3,"datsun,210,mpg"
377,4,8900,6200,2050,173,81,3,"toyota,tercel"
341,4,9100,6800,1985,160,81,3,"mazda,glc,4"
347,4,1050,6300,2215,149,81,1,"plymouth,horizon,4"
344,4,9800,6500,2045,162,81,1,"ford,escort,4w"
299,4,9800,6500,2380,207,81,1,"ford,escort,2h"
330,4,1050,7400,2190,142,81,2,"volkswagen,jetta"
345,4,1000,?,,2320,158,81,2,"renault,18i"
337,4,1070,7500,2210,144,81,3,"honda,prelude"
324,4,1080,7500,2350,168,81,3,"toyota,corolla"
329,4,1190,1000,2615,148,81,3,"datsun,200sx"
316,4,1200,7400,2635,183,81,3,"mazda,626"
281,4,1410,8000,3230,204,81,2,"peugeot,505s,turbo,diesel"
307,6,1450,7600,3160,196,81,2,"volvo,diesel"
254,6,1680,1160,2900,126,81,3,"toyota,cressida"
242,6,1460,1200,2930,138,81,3,"datsun,810,maxima"
224,6,2310,1100,3415,158,81,1,"buick,century"
266,8,3500,1050,3725,190,81,1,"oldsmobile,cutlass,ls"
202,6,2000,8800,3060,171,81,1,"ford,granada,gl"
176,6,2250,8500,3465,166,81,1,"chrysler,lebaron,salon"
280,4,1120,8800,2605,196,82,1,"chevrolet,cavalier"
270,4,1120,8800,2640,186,82,1,"chevrolet,cavalier,wagon"
340,4,1120,8800,2395,180,82,1,"chevrolet,cavalier,2-door"
310,4,1120,8500,2575,162,82,1,"pontiac,j2000,se,hatchback"
290,4,1350,8400,2525,160,82,1,"dodge,aries,se"
270,4,1510,9000,2735,180,82,1,"pontiac,phoenix"
240,4,1400,9200,2865,164,82,1,"ford,fairmont,futura"
230,4,1510,?,,3035,205,82,1,"amc,concord,dl"
360,4,1050,7400,1980,153,82,2,"volkswagen,rabbit,l"
370,4,9100,6800,2025,182,82,3,"mazda,glc,custom,l"
310,4,9100,6800,1970,176,82,3,"mazda,glc,custom"
380,4,1050,6300,2125,147,82,1,"plymouth,horizon,miser"
360,4,9800,7000,2125,173,82,1,"mercury,lynx,l"
360,4,1200,8800,2160,145,82,3,"nissan,stanza,xe"
360,4,1070,7500,2205,145,82,3,"honda,accord"
340,4,1080,7000,2245,,169,82,3,"toyota,corolla"
380,4,9100,6700,1965,150,82,3,"honda,civic"
320,4,9100,6700,1965,157,82,3,"honda,civic,(auto)"
380,4,9100,6700,1995,162,82,3,"datsun,310,gx"
250,6,1810,1100,2945,164,82,1,"buick,century,limited"
380,6,2620,8500,3015,170,82,1,"oldsmobile,cutlass,ciera,(diesel)"
260,4,1560,9200,2585,145,82,1,"chrysler,lebaron,medallion"
220,6,2320,1120,2835,,147,82,1,"ford,granada,l"
320,4,1440,9600,2665,139,82,3,"toyota,celica,gt"
360,4,1350,8400,2370,130,82,1,"dodge,charger,22"
270,4,1510,9000,2950,173,82,1,"chevrolet,camaro"
270,4,1400,8600,2790,156,82,1,"ford,mustang,gl"
440,4,9700,5200,2130,246,82,2,"vw,pickup"
320,4,1350,8400,2295,116,82,1,"dodge,rampage"
280,4,1200,7900,2625,186,82,1,"ford,ranger"
310,4,1190,8200,2720,194,82,1,"chevy,s-10"
